Category,Sum of Count of Brands,Sum of HUL Brands,Sum of P&G Brands,WEEK,SOURCE
Amazon Pantry,64,33,0,2016-10-01-2016-10-07,AMAZON
Bath & Shower,7,6,0,2016-10-01-2016-10-07,AMAZON
Beauty Page,40,15,7,2016-10-01-2016-10-07,AMAZON
Body Wash,2,2,0,2016-10-01-2016-10-07,AMAZON
Cleaning Store,12,4,1,2016-10-01-2016-10-07,AMAZON
Coffee and Espresso,10,8,0,2016-10-01-2016-10-07,AMAZON
Diet & Nutrition,9,0,0,2016-10-01-2016-10-07,AMAZON
Feminine Hygiene Products,2,0,1,2016-10-01-2016-10-07,AMAZON
Fly out,9,4,4,2016-10-01-2016-10-07,AMAZON
Fragrance,2,2,0,2016-10-01-2016-10-07,AMAZON
Grocery & Gourmet,61,25,0,2016-10-01-2016-10-07,AMAZON
Hair Care & Styling,12,7,2,2016-10-01-2016-10-07,AMAZON
Health Household & Personal Care,6,0,0,2016-10-01-2016-10-07,AMAZON
Home Page,138,39,13,2016-10-01-2016-10-07,AMAZON
Household Supplies,17,11,1,2016-10-01-2016-10-07,AMAZON
Luxury Beauty,17,0,0,2016-10-01-2016-10-07,AMAZON
Make up & Nails,9,2,0,2016-10-01-2016-10-07,AMAZON
Mens Grooming,8,1,0,2016-10-01-2016-10-07,AMAZON
Personal Care,6,0,0,2016-10-01-2016-10-07,AMAZON
Skin Care,22,10,2,2016-10-01-2016-10-07,AMAZON
Snack Food Store,5,1,0,2016-10-01-2016-10-07,AMAZON
Subscribe & Save,49,27,6,2016-10-01-2016-10-07,AMAZON
Tea,10,7,0,2016-10-01-2016-10-07,AMAZON
Amazon Pantry,20,6,1,2016-10-08-2016-10-14,AMAZON
Bath & Shower,6,4,0,2016-10-08-2016-10-14,AMAZON
Beauty Page,5,2,0,2016-10-08-2016-10-14,AMAZON
Body Wash,4,4,0,2016-10-08-2016-10-14,AMAZON
Cleaning Store,12,4,1,2016-10-08-2016-10-14,AMAZON
Coffee and Espresso,9,7,0,2016-10-08-2016-10-14,AMAZON
Diet & Nutrition,7,0,0,2016-10-08-2016-10-14,AMAZON
Feminine Hygiene Products,2,0,1,2016-10-08-2016-10-14,AMAZON
Fragrance,2,2,0,2016-10-08-2016-10-14,AMAZON
