category,Count_of_Brands,HUL_Brands,PG_Brands,source,Week
Cleaning Store,3,0,0,Amazon,2016-10-01-2016-10-07
Cleaning Store,1,1,0,Amazon,2016-10-01-2016-10-07
Cleaning Store,1,0,1,Amazon,2016-10-01-2016-10-07
Feminine Hygiene Products,1,0,1,Amazon,2016-10-01-2016-10-07
Feminine Hygiene Products,1,0,0,Amazon,2016-10-01-2016-10-07
Personal Care,1,0,0,Amazon,2016-10-01-2016-10-07
Personal Care,1,0,0,Amazon,2016-10-01-2016-10-07
Personal Care,1,0,0,Amazon,2016-10-01-2016-10-07
Personal Care,1,0,0,Amazon,2016-10-01-2016-10-07
Personal Care,2,0,0,Amazon,2016-10-01-2016-10-07
Diet & Nutrition,1,0,0,Amazon,2016-10-01-2016-10-07
Diet & Nutrition,1,0,0,Amazon,2016-10-01-2016-10-07
Diet & Nutrition,1,0,0,Amazon,2016-10-01-2016-10-07
Diet & Nutrition,1,0,0,Amazon,2016-10-01-2016-10-07
Amazon Pantry,1,0,0,Amazon,2016-10-01-2016-10-07
Amazon Pantry,6,2,0,Amazon,2016-10-01-2016-10-07
Amazon Pantry,6,2,0,Amazon,2016-10-01-2016-10-07
Snack Food Store,1,0,0,Amazon,2016-10-01-2016-10-07
Snack Food Store,1,0,0,Amazon,2016-10-01-2016-10-07
Snack Food Store,1,0,0,Amazon,2016-10-01-2016-10-07
Snack Food Store,1,1,0,Amazon,2016-10-01-2016-10-07
Snack Food Store,1,0,0,Amazon,2016-10-01-2016-10-07
Coffee and Espresso,1,1,0,Amazon,2016-10-01-2016-10-07
Coffee and Espresso,1,0,0,Amazon,2016-10-01-2016-10-07
Coffee and Espresso,1,0,0,Amazon,2016-10-01-2016-10-07
Tea,1,0,0,Amazon,2016-10-01-2016-10-07
Tea,1,0,0,Amazon,2016-10-01-2016-10-07
Tea,1,0,0,Amazon,2016-10-01-2016-10-07
Grocery & Gourmet,1,0,0,Amazon,2016-10-01-2016-10-07
Grocery & Gourmet,1,0,0,Amazon,2016-10-01-2016-10-07
Grocery & Gourmet,1,0,0,Amazon,2016-10-01-2016-10-07
Grocery & Gourmet,1,0,0,Amazon,2016-10-01-2016-10-07
Grocery & Gourmet,1,1,0,Amazon,2016-10-01-2016-10-07
Luxury Beauty,1,0,0,Amazon,2016-10-01-2016-10-07
Luxury Beauty,1,0,0,Amazon,2016-10-01-2016-10-07
Luxury Beauty,1,0,0,Amazon,2016-10-01-2016-10-07
Body Wash,2,2,0,Amazon,2016-10-01-2016-10-07
Mens Grooming,1,0,0,Amazon,2016-10-01-2016-10-07
Mens Grooming,1,1,0,Amazon,2016-10-01-2016-10-07
Mens Grooming,1,0,0,Amazon,2016-10-01-2016-10-07
Mens Grooming,1,0,0,Amazon,2016-10-01-2016-10-07
Mens Grooming,1,0,0,Amazon,2016-10-01-2016-10-07
Home Page,1,0,0,Nykaa,2016-10-01-2016-10-07
Home Page,1,0,0,Nykaa,2016-10-01-2016-10-07
Home Page,1,0,0,Nykaa,2016-10-01-2016-10-07
Home Page,10,1,0,Nykaa,2016-10-01-2016-10-07
Home Page,1,0,0,Nykaa,2016-10-01-2016-10-07
Home Page,0,0,0,Nykaa,2016-10-01-2016-10-07
Home Page,1,0,0,Nykaa,2016-10-01-2016-10-07
Home Page,1,0,0,Nykaa,2016-10-01-2016-10-07
Make up & Nails,1,1,0,Amazon,2016-10-01-2016-10-07
Make up & Nails,1,0,0,Amazon,2016-10-01-2016-10-07
Make up & Nails,1,0,0,Amazon,2016-10-01-2016-10-07
Make up & Nails,1,0,0,Amazon,2016-10-01-2016-10-07
Bath & Shower,3,3,0,Amazon,2016-10-01-2016-10-07
Bath & Shower,2,1,0,Amazon,2016-10-01-2016-10-07
Hair Care & Styling,1,0,0,Amazon,2016-10-01-2016-10-07
