"SlNo","ProductName",Store,MRP,"SellingPrice",Discount,"PriceChange","StockStatus",SKU,"ProductURL",Brand,Category,"SubCategory",Offers,Cashback,"ShippingTime","ShippingCharges",Warranty,"CrawlTime",Size,Rating,Reviews,Images,"ImageCount","ImageResolution"
1141340,"Youth Code Day/Night Cream - Smoothing Face Cream - L'Oreal Paris",LorealParisusa-US,24.99,24.99,0,0,"In Stock",,http://www.lorealparisusa.com/en/Products/Skin-Care/Moisturizers/Youth-Code-Skin-Recharger-Day-Night-Cream.aspx,L'Oreal,"Skin Care",Moisturizers,,,,,,"4th Mar 2015 01:55:33",,4.5,125,"http://www.lorealparisusa.com/~/media/Images/LOP/Home/Products/Skin-Care/Moisturizers/Youth-Code-Day-Night-Cream/Day-Night-Cream/SK25_1_pack-shot_NEW.jpg, http://www.lorealparisusa.com/~/media/Images/LOP/Home/Products/Skin-Care/Moisturizers/Youth-Code-Day-Night-Cream/Day-Night-Cream/SK25_1_pack-shot_NEW.jpg , http://www.lorealparisusa.com/~/media/Images/LOP/Home/Products/Skin-Care/Moisturizers/Youth-Code-Day-Night-Cream/Day-Night-Cream/SK25_1_pack-shot_old.jpg",3,"300x300,300x300,300x300"
1141340,"L'oreal Paris Youth Code Day/Night Cream, Anti-Aging products from Face, Skin Care",CVS-US,24.99,24.99,0,0,"In Stock",,http://www.cvs.com/shop/skin-care/face/anti-aging/l-oreal-paris-youth-code-day-night-cream-skuid-826921,L'Oreal,"Skin Care",Moisturizers,,,,"FREE Shipping Eligible",,"4th Mar 2015 01:38:56","1.6 OZ",4.6,,http://www.cvs.com/bizcontent/merchandising/productimages/small/7124918701.jpg,1,177x224
1141340,"L'Oreal Paris Youth Code Day/Night Cream, 1.7 Fluid Ounce",Amazon-US,19.99,19.97,0.1,0,"In Stock",,http://www.amazon.com/LOreal-Paris-Youth-Night-Cream/dp/B0047F71SS,L'Oreal,"Skin Care",Moisturizers,,,,,,"4th Mar 2015 05:03:10","1.7 oz.",4.3,205,"http://ecx.images-amazon.com/images/I/41kW7pmd46L._SL190_SY246_CR0, 0, 190, 246_.jpg, http://ecx.images-amazon.com/images/I/41kW7pmd46L.jpg, http://ecx.images-amazon.com/images/I/51%2Bw%2Bid-01L.jpg, http://ecx.images-amazon.com/images/I/51671QdJXtL.jpg, http://ecx.images-amazon.com/images/I/51aMtPynouL.jpg, http://ecx.images-amazon.com/images/I/51WldOvuZzL.jpg, http://ecx.images-amazon.com/images/I/41O4ftDSVLL.jpg",7,"1500x1348,1500x1348,1500x1348,1500x1348,1500x1348,1500x1348,1500x1348"
1141340,"""L'Oreal"" L'Oreal Youth Code Day/Night Cream",Walmart-US,19.97,19.97,0,0,"In Stock",,http://www.walmart.com/ip/L-Oreal-Youth-Code-Day-Night-Cream/15270271,L'Oreal,"Skin Care",Moisturizers,,,,50,,"3rd Mar 2015 01:58:16",,4.5,226,http://i5.walmartimages.com/dfw/dce07b8c-3ed3/k2-_c478de14-c3f1-49a4-b707-e9ab4ef5fbbc.v1.jpg,1,450x450
1141341,"Age Perfect Hydra-Nutrition Day/Night Cream - Skin care - L'Oreal Paris",LorealParisusa-US,17.99,17.99,0,0,"In Stock",,http://www.lorealparisusa.com/en/Products/Skin-Care/Moisturizers/Age-Perfect-Hydra-Nutrition-Day-Night-Cream.aspx,L'Oreal,"Skin Care",Moisturizers,,,,,,"4th Mar 2015 01:55:53",,3.9,21,"http://www.lorealparisusa.com/~/media/Images/LOP/Home/Products/Skin-Care/Moisturizers/Age-Perfect-Hydra-Nutrition-Day-Night-Cream/Hydra-Nutrition-Day-Night-Cream/SK4_9_pack-shot.jpg, http://www.lorealparisusa.com/~/media/Images/LOP/Home/Products/Skin-Care/Moisturizers/Age-Perfect-Hydra-Nutrition-Day-Night-Cream/Hydra-Nutrition-Day-Night-Cream/SK4_9_pack-shot.jpg",2,"300x300,300x300"
1141341,"L'Oreal Paris Age Perfect Hydra-Nutrition Moisturizer, 1.7-Fluid Ounce",Amazon-US,13.99,10.95,21.73,-26.39,"In Stock",,http://www.amazon.com/LOreal-Paris-Hydra-Nutrition-Moisturizer-1-7-Fluid/dp/B002PBHQP4,L'Oreal,"Skin Care",Moisturizers,,,,5.00,,"4th Mar 2015 05:00:51","1.7 oz.",4.1,109,"http://ecx.images-amazon.com/images/I/71GJLZu2XkL._SL1500_.jpg, http://ecx.images-amazon.com/images/I/41ZZJhCUyrL.jpg, http://ecx.images-amazon.com/images/I/519-HoidhKL.jpg, http://ecx.images-amazon.com/images/I/51HuU-t31DL.jpg, http://ecx.images-amazon.com/images/I/51EjCV99f9L.jpg, http://ecx.images-amazon.com/images/I/41o1Ew5LQqL.jpg",6,"1500x1185,500x395,413x500,459x500,400x500,407x500"
1141342,"Futur•e ® Moisturizer SPF 15 Normal to Dry Skin - Moisturizers By L'Oreal Paris",LorealParisusa-US,11.99,11.99,0,0,"In Stock",,http://www.lorealparisusa.com/en/Products/Skin-Care/Moisturizers/Future-Moisturizer-SPF-15-Normal-to-Dry-Skin.aspx,L'Oreal,"Skin Care",Moisturizers,,,,,,"4th Mar 2015 01:56:42",,4.83,6,"http://www.lorealparisusa.com/~/media/Images/LOP/Home/Products/Skin-Care/Moisturizers/Future-Moisturizer-SPF-15-Normal-to-Dry-Skin/Moisturizer-SPF-15-Normal-to-Dry-Skin/SK8_1_pack-shot.jpg, http://www.lorealparisusa.com/~/media/Images/LOP/Home/Products/Skin-Care/Moisturizers/Future-Moisturizer-SPF-15-Normal-to-Dry-Skin/Moisturizer-SPF-15-Normal-to-Dry-Skin/SK8_1_pack-shot.jpg",2,"300x300,300x300"
1141342,"L'Oreal Paris Futur-e Moisturizer SPF 15, Normal to Dry Skin, 4.0 Fluid Ounce",Amazon-US,11.49,10.27,10.62,0,"In Stock",,http://www.amazon.com/LOreal-Paris-Futur-e-Moisturizer-Normal/dp/B009X62WM6,L'Oreal,"Skin Care",Moisturizers,,,,,,"4th Mar 2015 05:02:56","4.0 oz.",4.6,29,"http://ecx.images-amazon.com/images/I/31sf64sjR9L._SL246_SX190_CR0, 0, 190, 246_.jpg, http://ecx.images-amazon.com/images/I/31sf64sjR9L.jpg, http://ecx.images-amazon.com/images/I/31Ms%2BdxoVxL.jpg, http://ecx.images-amazon.com/images/I/41fp9MQkr7L.jpg, http://ecx.images-amazon.com/images/I/41juwg4e0xL.jpg, http://ecx.images-amazon.com/images/I/31Hon1FvQfL.jpg, http://ecx.images-amazon.com/images/I/31KRtLXwb4L.jpg",7,"536x1500,536x1500,536x1500,536x1500,536x1500,536x1500,536x1500"
1141342,"""L'Oreal Paris"" L'Oreal Paris Future-E Moisturizer, 4 fl oz",Walmart-US,10.27,10.27,0,0,"In Stock",,http://www.walmart.com/ip/L-Oreal-Paris-Future-E-Moisturizer-4-fl-oz/22583009,L'Oreal,"Skin Care",Moisturizers,,,,50,,"3rd Mar 2015 01:59:01",,5.0,8,http://i.walmartimages.com/i/p/00/07/12/49/23/0007124923294_180X180.jpg,1,450x450
1141343,"RevitaLift Anti-Wrinkle + Firming Eye Cream - Eye Lift Cream - L'Oreal Paris",LorealParisusa-US,17.99,17.99,0,0,"In Stock",,http://www.lorealparisusa.com/en/Products/Skin-Care/Moisturizers/RevitaLift-Anti-Wrinkle-Firming-Eye-Cream.aspx,L'Oreal,"Skin Care",Moisturizers,,,,,,"4th Mar 2015 02:00:41",,4.44,9,"http://www.lorealparisusa.com/~/media/Images/LOP/Home/Products/Skin-Care/Moisturizers/RevitaLift-Anti-Wrinkle-Firming-Eye-Cream/Anti-Wrinkle-Firming-Eye-Cream/SK3_6_pack-shot.jpg, http://www.lorealparisusa.com/~/media/Images/LOP/Home/Products/Skin-Care/Moisturizers/RevitaLift-Anti-Wrinkle-Firming-Eye-Cream/Anti-Wrinkle-Firming-Eye-Cream/SK3_6_pack-shot.jpg",2,"300x300,300x300"
